Participant_ID,Age,Gender,Exercise_Type,Repetition_Number,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Knee_Angle,Elbow_Angle,Stability_Metric,Posture_Status
P078,24,M,Lunge,20,0.26120627024474175,-1.565846179177985,1.9925299060849841,121.13149702190748,169.31760214942898,-91.11042473665121,131.07708360024037,80.44722755949577,0.6799491734497504,Correct
P022,37,M,Jumping Jack,4,2.043215279695163,-0.7859118039243276,-1.4261289477241446,-149.96723680398472,106.14224691797682,-118.00163661825945,134.41945412189082,32.03274023068423,0.09492168257689015,Correct
P016,46,M,Lunge,2,2.3002097881854713,0.5526432808262567,2.3083276365337273,10.920725563213836,-88.41120963690294,-59.20360644979334,149.45058454136455,84.70922873127117,0.5417571952889821,Correct
P096,32,M,Jumping Jack,5,-2.037636749963129,-0.8954807115038701,1.1488750934494742,-102.73670111835992,-32.7989395060591,64.37302885591689,111.11274219767107,117.00077257237835,0.8517638521932599,Correct
P036,28,F,Jumping Jack,1,-0.9625611527509825,-1.710621398554609,0.9970999971035406,-57.669859621525546,130.42424685424623,-0.2184059099423621,115.27244462938522,145.289403931737,0.06693480822154185,Correct
P050,25,M,Lunge,5,-0.98866091871857,-2.3012235066502074,-0.8080826210109398,51.99437687121872,-51.331133043621264,155.84733353851834,151.60123866850617,39.43357734792401,0.4162747972255457,Correct
P058,46,M,Push-up,6,-2.747731223544332,2.278601627457392,-2.6435821566553743,-170.1977715587346,24.265455122375613,-103.41041765453687,138.44622667894822,63.75488450105941,0.8052144705167662,Correct
P071,38,M,Jumping Jack,2,0.589426559111379,-0.3581221454885659,1.9804385892334633,33.77703563033859,12.54847307926056,-48.88470734858154,91.31281418329449,89.29572619340402,0.8583572801102084,Incorrect
P087,24,F,Lunge,1,2.1289203179531277,0.7512499304575804,-1.974577228940832,-77.96079379665011,-35.53396249363212,-61.25307235471098,150.3295015756897,50.44655384422995,0.7753627763346166,Incorrect
P051,43,M,Squat,4,-0.7105536730468933,-0.057537833179168274,-0.7664481486314867,61.01436989090598,50.22068465293782,-95.05309465442522,145.80828366770504,44.01942264915656,0.30570957502655605,Correct
