exercise,elbow_angle,hip_angle,knee_angle,label
biceps_curl,7.159669628079541,176.52722100332852,167.28752670142762,0
biceps_curl,7.893538255192378,176.4627922885287,168.72882433231027,0
biceps_curl,9.300977184551522,176.45033644024858,168.64402161123562,0
biceps_curl,10.617874848367636,176.34107689171202,169.0042720020858,0
biceps_curl,12.05729190074895,176.30453516802223,169.3325819875646,0
biceps_curl,13.190716624146988,176.26904320233862,169.64172050162844,0
biceps_curl,13.747170126594577,176.32612034856245,169.58869759603638,0
biceps_curl,13.911852235998717,176.3406374684329,169.5848837219168,0
biceps_curl,13.920267899603505,176.42737782210054,169.40774021487238,0
biceps_curl,13.972509244406881,176.60208314021557,169.28528998646692,0
biceps_curl,14.839129530087652,176.600027344377,169.05844990077838,0
biceps_curl,15.248189368110168,176.64339186039518,168.83701461027604,0
biceps_curl,15.772476630274014,176.585036925136,169.01523038917355,0
biceps_curl,16.443248364135446,176.31334993704928,169.39509576616868,0
biceps_curl,16.988943635536344,176.24813741543858,169.16359853316283,0
biceps_curl,17.13678357405067,176.14040644508512,169.21818662049188,0
biceps_curl,17.59831725104805,176.1153050169973,168.75240994068483,0
biceps_curl,18.36756208179072,176.0017987360266,168.76779842443858,0
biceps_curl,19.461431634544176,175.60882447093937,168.96077644304424,0
biceps_curl,21.02275253588253,175.4678476436453,168.26020956048666,0
biceps_curl,23.066044137641438,175.48240245433263,168.34596294191905,0
biceps_curl,23.158161695031467,175.7997441091667,168.2546824599327,0
biceps_curl,25.025208657902652,176.19307407918757,167.96923630260423,0
biceps_curl,27.78920644011263,176.42445899904138,167.93493113320662,0
biceps_curl,29.609576389406435,176.60232040791166,167.5360335229802,0
biceps_curl,32.0421678206534,176.75759557927944,167.4157845353102,0
biceps_curl,32.46858618670453,177.05974265551734,166.78171420408933,0
biceps_curl,33.9477465048665,177.29120983590488,166.14197805573892,0
biceps_curl,38.645620133306444,177.4830088235019,166.1052178420311,0
biceps_curl,45.52882998214008,177.1355143289825,166.1042011856164,0
biceps_curl,51.98498795023282,176.97292005567647,166.20666630414493,0
biceps_curl,52.90954078878417,177.17116286845683,166.21203891290568,0
biceps_curl,60.01436852056771,177.02860811365736,166.7695481561599,0
biceps_curl,66.16681451877321,176.97756274886152,167.41313156564644,0
biceps_curl,69.54955504963178,176.964311279655,168.8061687272624,0
biceps_curl,88.33697177889688,177.03532055996757,168.39789362796878,0
biceps_curl,95.24761377389154,177.08544524797455,168.11196250426903,0
biceps_curl,100.7028780855066,177.0597105502323,167.9558573255236,0
biceps_curl,103.97991668008382,177.08049898504106,168.40726717450815,0
biceps_curl,111.66302812664418,177.01184541451042,168.61281349454757,0
biceps_curl,121.83747917679716,176.96127078131582,169.25497744846774,0
biceps_curl,123.48481254394511,177.00781804166434,168.98517446478513,0
biceps_curl,126.87487011270753,177.11584154776537,170.14531634510917,0
biceps_curl,130.93637360700748,177.70540785199734,169.73846265238038,0
biceps_curl,135.0121879562231,177.60410610397832,170.76289535578397,0
biceps_curl,140.15626814201158,177.6080057322742,171.45829180280856,0
biceps_curl,140.7313098622799,177.5923208041645,172.6119250858114,0
biceps_curl,144.5515797166894,177.71410348995866,172.5932878389857,0
biceps_curl,147.88913392070637,178.44396727866302,171.07769259509115,0
biceps_curl,150.79795954461213,178.51758306902488,171.00845924169144,0
biceps_curl,153.80262497861713,178.34331677577987,172.08055077368869,0
biceps_curl,154.0858852417596,178.90226863918608,172.2080245865666,0
biceps_curl,156.71390189948667,179.74447558036596,171.9000306839388,0
biceps_curl,158.32015375843486,179.8719247011635,171.35980747963455,0
biceps_curl,158.9053753857952,179.86884544571433,171.7626432666611,0
biceps_curl,160.93683108749806,179.69623199547067,171.600953199437,0
biceps_curl,161.21179871891562,178.4974445466447,168.8555355330682,0
biceps_curl,162.30781022055078,178.45505825055133,169.550964435301,0
biceps_curl,163.53214207219577,177.87395225744055,174.89984816319188,0
biceps_curl,164.7668906430218,177.19836078287423,175.31919755740498,0
biceps_curl,165.9764196643838,175.07051149941032,179.1716723649736,0
